"Time Stamp","Close","High","Low","Open","Volume From","Volume To"
"2017-12-17 08:00:00","19612.56","19628.1","19408.14","19410.12","4891.13","95574015.32"
"2017-12-17 09:00:00","19426.27","19620.75","19420.35","19612.56","3037.16","59272906.54"
"2017-12-17 10:00:00","19633.63","19640.44","19378.56","19426.27","3756.17","73201802.18"
"2017-12-17 11:00:00","19693.01","19711.75","19612.72","19633.63","4318.45","84812625.32"
"2017-12-17 12:00:00","19784.93","19797.6","19691.74","19694.26","4075.63","80487073.18"
"2017-12-17 13:00:00","19614.75","19870.62","19614.07","19784.93","3916.9","77554663.89"
"2017-12-17 14:00:00","19728.08","19819.74","19584.66","19614.54","3776.39","74404695.9"
"2017-12-17 15:00:00","19493.1","19728.52","19411.32","19727.56","4548.16","88982911.81"
"2017-12-17 16:00:00","19437.42","19553.71","19248.28","19493.1","5506.62","106701443.32"
"2017-12-17 17:00:00","19133.7","19498.65","19070.81","19437.42","6449.38","124145819.36"
"2017-12-17 18:00:00","19188.29","19325.88","19125.63","19133.7","4292.18","82427614.07"
"2017-12-17 19:00:00","18888.16","19194.23","18886.27","19189.92","4296.32","81938644.39"
"2017-12-17 20:00:00","19000.43","19079.41","18750.91","18888.16","8292.96","156480044.87"
"2017-12-17 21:00:00","19075.99","19369.92","18984.27","18996.74","6192.7","118735899.89"
"2017-12-17 22:00:00","19028.09","19096.29","19003.97","19075.99","3010.35","57282697.56"
"2017-12-17 23:00:00","19418.22","19554.74","19016.3","19025.07","6654.14","128526334.67"
"2017-12-18","19065.71","19460.4","18873.37","19418.47","11016.77","210351831.75"
"2017-12-18 01:00:00","18243.22","19069.66","18236.46","19065.71","15685.04","291267164.35"
"2017-12-18 02:00:00","18474.4","18590.57","18114.42","18242.32","16756.97","306575866.45"
"2017-12-18 03:00:00","18304.26","18813.64","18261.05","18474.4","8999.32","167175066.25"
"2017-12-18 04:00:00","18614.57","18652.22","18299.54","18305.98","4672.95","86610369.61"
"2017-12-18 05:00:00","18794.74","18969.36","18606.87","18613.91","5045.2","94972168.46"
"2017-12-18 06:00:00","18948.97","18955.67","18697.61","18794.74","3460.42","65194585.03"
"2017-12-18 07:00:00","18964.87","19028.35","18869.65","18948.46","2985.02","56636753.1"
"2017-12-18 08:00:00","18681.77","18976.96","18627.66","18964.87","3364.19","63355571.05"
"2017-12-18 09:00:00","18968.67","19009.15","18669.69","18681.77","3403.11","64051885.82"
"2017-12-18 10:00:00","18770.67","18971.28","18615.83","18968.67","4092.97","76628091.04"
"2017-12-18 11:00:00","18861.27","18965.98","18763.74","18772.34","2829.11","53276711.19"
"2017-12-18 12:00:00","19144.54","19221.1","18856.73","18856.73","5825.23","111000138.54"
"2017-12-18 13:00:00","18949.48","19212.68","18945.1","19144.54","3938.37","75114917.31"
"2017-12-18 14:00:00","18749.81","18979.16","18691.6","18949.4","5011.28","94257408.02"
"2017-12-18 15:00:00","18617.8","18751.53","18259","18749.81","9753.79","180199155.94"
"2017-12-18 16:00:00","18768.58","18833.1","18616.98","18617.8","4774.28","89450236.4"
"2017-12-18 17:00:00","18572.05","18818.82","18569.02","18770.37","5294.62","98897497.49"
"2017-12-18 18:00:00","18546.29","18628.12","18482.31","18572.05","4869.62","90356730.13"
"2017-12-18 19:00:00","18451.99","18546.67","18298.54","18546.29","4913.92","90629468.78"
"2017-12-18 20:00:00","18756.2","18771.49","18448.74","18451.99","5339.42","99647075.26"
"2017-12-18 21:00:00","18677.21","18778.93","18578.41","18755.8","4555.12","84984946.99"
"2017-12-18 22:00:00","18714.33","18766.51","18666.87","18674.48","3366.22","63026368.35"
"2017-12-18 23:00:00","18789.79","18790.1","18646.35","18714.33","4507.04","84292603.14"
"2017-12-19","18972.32","19006.58","18766.61","18790.31","5809.38","109933733.86"
"2017-12-19 01:00:00","18803.07","19021.97","18722.97","18971.19","4462","84138989.47"
"2017-12-19 02:00:00","18768.15","18921.19","18753.3","18802.92","3329.08","62715496.57"
"2017-12-19 03:00:00","18800.07","18840.95","18680.83","18768.15","4206.24","78926019.68"
"2017-12-19 04:00:00","18952.4","18962.16","18673.29","18800.07","5275.11","99299547.7"
"2017-12-19 05:00:00","18879.72","18969.48","18850.2","18951.16","3560.92","67317989.99"
"2017-12-19 06:00:00","18817.33","18889.98","18770.81","18879.72","3257.15","61376931.86"
"2017-12-19 07:00:00","18691.48","18823.92","18688.74","18817.33","3042.9","57102426.82"
"2017-12-19 08:00:00","18748.04","18826.89","18689.34","18691.12","3224.42","60436383.7"
"2017-12-19 09:00:00","18811.58","18836.35","18743.85","18747.67","2425.01","45566226.23"
"2017-12-19 10:00:00","18530.23","18820.71","18413.45","18811.22","5841.81","108644395.07"
"2017-12-19 11:00:00","18085.96","18532.1","17956.64","18530.23","13061.74","237726982.8"
"2017-12-19 12:00:00","17675.79","18203.44","17585.2","18082.67","14723.72","263553681.51"
"2017-12-19 13:00:00","17938.8","18148.64","17664.81","17675.79","6969.34","125061506.67"
"2017-12-19 14:00:00","17963.87","18249.53","17922.87","17938.7","8110.09","146800920"
"2017-12-19 15:00:00","17767.93","17969.47","17628.13","17963.15","10479.14","186357788.12"
"2017-12-19 16:00:00","17846.96","17903.39","17720.43","17768.12","7387.36","131491665.47"
"2017-12-19 17:00:00","18273.22","18288.33","17845.15","17849.46","7530.72","136057176.75"
"2017-12-19 18:00:00","18112.23","18359.49","18091.91","18273.73","5891.71","107321013.96"
"2017-12-19 19:00:00","18119.93","18248.17","18007.52","18112.23","4835.15","87800784.99"
"2017-12-19 20:00:00","17803.46","18130.78","17747.84","18119.93","6580.1","118159611.9"
"2017-12-19 21:00:00","17592.58","17915.27","17482.89","17803.46","8523.97","150941138.25"
"2017-12-19 22:00:00","16969.7","17644.58","16812.8","17592.58","21268.05","363913535.33"
"2017-12-19 23:00:00","17142.81","17407.48","16945.26","16969.31","12122.11","209084984.13"
"2017-12-20","17523.7","17600.53","17094.95","17142.81","8436.93","146940970.61"
"2017-12-20 01:00:00","16912.7","17521.73","15675.77","17521.73","25003.81","413647294.25"
"2017-12-20 02:00:00","16297.4","16941.5","15890.41","16913.05","22077.83","360398583.56"
"2017-12-20 03:00:00","17214.5","17215.18","16276.92","16297.59","16523.04","277415585.66"
"2017-12-20 04:00:00","16804.95","17246.39","16800.1","17213.42","7867.68","133925780.78"
"2017-12-20 05:00:00","16897.58","16979.77","16608.55","16804.95","6643.04","111903965.67"
"2017-12-20 06:00:00","16477.71","16921.21","16464.13","16897.67","6146.86","102516629.76"
"2017-12-20 07:00:00","16333.09","16506.98","15948.34","16477.67","10626.11","172351477.68"
"2017-12-20 08:00:00","16432.62","16754.53","16162.48","16327.93","7529.93","124275410.7"
"2017-12-20 09:00:00","17033.19","17041.63","16365.59","16432.62","6231.02","104378967"
"2017-12-20 10:00:00","16941.11","17038.66","16808.17","17033.19","5171.1","86929027.51"
"2017-12-20 11:00:00","17331.43","17478.77","16941.11","16941.11","7118.11","122778427.38"
"2017-12-20 12:00:00","17397.73","17500.12","17134.45","17330.55","4809.27","83018179.75"
"2017-12-20 13:00:00","17810.12","17813.6","17378.08","17397.73","5727.82","100829915.41"
"2017-12-20 14:00:00","17101.55","17811.18","16973.78","17806.1","9606.33","166346881.87"
"2017-12-20 15:00:00","17216.33","17434.08","17101.55","17101.55","7000.17","120789061.57"
"2017-12-20 16:00:00","16515.96","17217.83","16440.13","17216.33","9103.31","152608474.56"
"2017-12-20 17:00:00","16390.77","16558.83","16094.07","16514.94","12897.21","210373021.72"
"2017-12-20 18:00:00","16915.03","16946.57","16386.52","16386.52","10099.36","168674117.22"
"2017-12-20 19:00:00","16847.56","16916.92","16559.44","16915.03","5478.59","91779783.42"
"2017-12-20 20:00:00","16774.15","16862.26","16488.81","16847.56","7458.52","124656613.29"
"2017-12-20 21:00:00","16693.63","16810.2","16601.33","16772.04","5649.1","94378927.51"
"2017-12-20 22:00:00","16256.55","16697","16159.97","16693.96","7783.31","127551526.71"
"2017-12-20 23:00:00","16292.85","16329.14","15642.69","16256.55","14992.98","239907699.9"
"2017-12-21","16461.97","16506.56","16115.35","16292.85","6134.39","100367334.21"
"2017-12-21 01:00:00","16683.5","16728.15","16395.96","16461.09","6492.7","107442139.85"
"2017-12-21 02:00:00","16501.76","16685.51","16387.08","16683.14","4866.3","80318545.64"
"2017-12-21 03:00:00","16379.37","16634.2","16362.34","16504.21","4315.07","71254386.08"
"2017-12-21 04:00:00","16900.45","16956.85","16152.87","16377.56","7905","130462987.9"
"2017-12-21 05:00:00","16886.7","17044.11","16776.77","16900.45","6682.62","112931429.54"
"2017-12-21 06:00:00","16771.39","16899.65","16648.04","16886.7","4056.06","68077422.18"
"2017-12-21 07:00:00","17152.82","17166.5","16753.94","16771.41","3905.72","66401625.06"
"2017-12-21 08:00:00","17050","17301.83","16901.72","17154.29","5949.38","101546971.33"
"2017-12-21 09:00:00","16763.48","17055.1","16716.12","17049.08","4806.89","80776870.87"
"2017-12-21 10:00:00","16781.77","16928.1","16735.98","16763.49","2900.33","48752054.17"
"2017-12-21 11:00:00","16619.93","16788.86","16473.84","16779.2","4509.29","74754174.1"
"2017-12-21 12:00:00","16639.12","16749.71","16484.67","16619.93","3577.11","59505521.05"
"2017-12-21 13:00:00","16666.29","16806.21","16639.12","16639.12","2984.55","49898366.64"
"2017-12-21 14:00:00","16208.52","16707.29","16168.15","16666.29","6298.82","103378319.1"
"2017-12-21 15:00:00","15968.71","16397.17","15965.89","16208.52","7379.14","119520752.28"
"2017-12-21 16:00:00","15366.52","16010.78","15159.43","15968.78","21344.01","331915298.51"
"2017-12-21 17:00:00","15639.86","15800.11","15254.16","15366.91","12739.7","197741667.38"
"2017-12-21 18:00:00","15320.5","15669.94","14952.98","15633.95","13288.17","203110229.02"
"2017-12-21 19:00:00","15280.89","15475.39","15191.71","15320.5","7470.51","114635417.36"
"2017-12-21 20:00:00","15352.65","15393.53","15008.73","15280.89","8917.85","135645726.31"
"2017-12-21 21:00:00","15207.97","15439.73","15101.77","15352.65","5486.39","83837413.24"
"2017-12-21 22:00:00","15592.72","15701.55","15166.27","15207.57","7079.67","109254058.05"
"2017-12-21 23:00:00","15535.57","15749.65","15467.98","15594.07","5449.36","85306861.21"
"2017-12-22","15632.12","15705.93","15410.24","15535.42","5331.93","82854108.77"
"2017-12-22 01:00:00","15090.07","15823.72","15086.93","15632.12","7714.14","119250450.67"
"2017-12-22 02:00:00","14568.49","15182.59","14373.73","15090.07","17792.68","262402650.31"
"2017-12-22 03:00:00","14070.14","14792.98","13848.34","14568.93","17348","249461052.33"
"2017-12-22 04:00:00","14198.61","14264.93","13089.71","14073.74","37847.38","518953302.84"
"2017-12-22 05:00:00","14655.66","14832.34","13950.7","14198.61","22178.93","321466314.13"
"2017-12-22 06:00:00","14017.51","14784.3","13815.86","14655.66","11429.41","163428530"
"2017-12-22 07:00:00","13444.32","14304.14","13437.95","14017.51","11430.32","158405227.19"
"2017-12-22 08:00:00","13162.88","13498.65","12432.7","13443.98","33984.52","439812030.93"
"2017-12-22 09:00:00","13250.69","13553.05","12827.05","13164.04","15674.26","206091420.62"
"2017-12-22 10:00:00","13704.31","13901.27","13246.07","13250.65","13056.52","177281717.11"
"2017-12-22 11:00:00","13999.45","14482.47","13594.54","13704.31","13123.2","184380038.72"
"2017-12-22 12:00:00","13739.44","14003","13437.32","13999.45","11358.98","155376359.24"
"2017-12-22 13:00:00","13563.62","13908.07","13423.23","13739.9","8844.94","122035433.6"
"2017-12-22 14:00:00","12039.13","13567.47","12025.38","13563.62","32184.05","406635776.47"
"2017-12-22 15:00:00","12078.72","12279.54","10875.71","12039.13","50801.58","593195130.67"
"2017-12-22 16:00:00","12966.9","13191.95","11736.48","12087.83","32796.4","418129086.7"
"2017-12-22 17:00:00","12751.12","12981.3","12058.11","12966.91","22851.15","288537858.43"
"2017-12-22 18:00:00","12906.38","13175.93","12541.55","12751.12","14007.46","181332709.91"
"2017-12-22 19:00:00","13388.02","13426.48","12566.39","12906.38","14272.03","187538028.74"
"2017-12-22 20:00:00","13221.81","13563.12","12843.64","13388.4","14765.01","196279425.68"
"2017-12-22 21:00:00","14217.83","14220.37","13147","13221.81","17907.58","248454936.29"
"2017-12-22 22:00:00","13947.55","14286.19","13809.33","14217.83","13457.64","190516727.56"
"2017-12-22 23:00:00","14832.74","14837.36","13942.64","13947.55","13438.92","194974643.52"
"2017-12-23","13664.97","14837.2","13273.63","14832.74","18716.43","261810359.06"
"2017-12-23 01:00:00","13736.76","14130.1","13356.07","13664.97","10492.39","145545925.04"
"2017-12-23 02:00:00","13862.56","14012.85","13634","13731.3","5757.46","79841107.89"
"2017-12-23 03:00:00","14045.92","14314.81","13861.75","13862.56","6591.6","93498191.92"
"2017-12-23 04:00:00","14528.09","14564.67","13923.71","14045.92","6216.35","89247157.83"
"2017-12-23 05:00:00","14336.25","14598.68","14252.06","14528.49","6157.42","89597169.55"
"2017-12-23 06:00:00","13839.46","14383.65","13705.83","14336.25","7702.6","108565580.27"
"2017-12-23 07:00:00","13906.82","13910.74","13419.88","13839.45","7893.22","108757372.83"
"2017-12-23 08:00:00","14109.41","14306.69","13874.64","13916.31","5950.38","84552704.21"
"2017-12-23 09:00:00","14228.36","14451.51","14088.19","14109.41","4843.12","69774732.09"
"2017-12-23 10:00:00","14431.11","14433.25","14035.83","14230.24","4641.84","66368413.55"
"2017-12-23 11:00:00","14662.83","14713.15","14206.64","14431.11","5765.77","83470495.38"
"2017-12-23 12:00:00","15066.28","15070.45","14653.15","14662.83","8260.48","122516127.99"
"2017-12-23 13:00:00","14862.92","15069.79","14636.34","15066.28","8667.89","129551738.6"
"2017-12-23 14:00:00","14931.73","14981.85","14762.19","14862.92","6967.55","104229031.34"
"2017-12-23 15:00:00","15362.83","15384.92","14931.73","14931.73","9169.13","140099854.28"
"2017-12-23 16:00:00","14786.65","15493.23","14585.78","15362.83","13074.56","197991379.65"
"2017-12-23 17:00:00","15164.66","15167.02","14715.3","14786.65","7536.56","113330179.69"
"2017-12-23 18:00:00","14960.77","15174.27","14719.61","15164.66","7690.37","115282817.53"
"2017-12-23 19:00:00","14805.31","15087.29","14766.25","14953.33","4429.75","66311763.99"
"2017-12-23 20:00:00","14886.77","14916.75","14783.4","14807.16","3804.39","56789866.04"
"2017-12-23 21:00:00","15131.93","15211.78","14837.62","14866.7","5592.56","85305636.97"
"2017-12-23 22:00:00","15244.24","15342.85","15129.06","15131.93","4876.88","74697155.03"
"2017-12-23 23:00:00","14832.18","15333.13","14790.1","15244.24","6526.23","98754895.96"
"2017-12-24","14396.46","14998.4","14149.89","14832.18","11562.15","167846126.83"
"2017-12-24 01:00:00","14260.49","14413.72","13945.9","14396.63","10908.13","153572331.77"
"2017-12-24 02:00:00","13857.82","14378.9","13786.77","14255.32","8438.5","118586118.46"
